"filename", "language", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\about\index.php", "PHP", 363, 0, 0, 5, 32, 400
"c:\xampp\htdocs\Gretex Corporate main\careers\index.php", "PHP", 862, 0, 0, 12, 61, 935
"c:\xampp\htdocs\Gretex Corporate main\careers\job.php", "PHP", 113, 0, 0, 0, 14, 127
"c:\xampp\htdocs\Gretex Corporate main\contact.php", "PHP", 100, 0, 0, 0, 17, 117
"c:\xampp\htdocs\Gretex Corporate main\csr\index.php", "PHP", 509, 0, 0, 2, 53, 564
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\Veeramornamentslimited.css", "CSS", 0, 0, 241, 2, 38, 281
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\ipo.css", "CSS", 0, 0, 496, 3, 80, 579
"c:\xampp\htdocs\Gretex Corporate main\css\about\about.css", "CSS", 0, 0, 859, 13, 159, 1031
"c:\xampp\htdocs\Gretex Corporate main\css\careers\careers.css", "CSS", 0, 0, 1197, 8, 184, 1389
"c:\xampp\htdocs\Gretex Corporate main\css\careers\job.css", "CSS", 0, 0, 259, 0, 35, 294
"c:\xampp\htdocs\Gretex Corporate main\css\contact.css", "CSS", 0, 0, 180, 5, 30, 215
"c:\xampp\htdocs\Gretex Corporate main\css\csr\csr.css", "CSS", 0, 0, 584, 98, 138, 820
"c:\xampp\htdocs\Gretex Corporate main\css\global copy 2.css", "CSS", 0, 0, 650, 28, 159, 837
"c:\xampp\htdocs\Gretex Corporate main\css\global copy.css", "CSS", 0, 0, 280, 12, 45, 337
"c:\xampp\htdocs\Gretex Corporate main\css\global.css", "CSS", 0, 0, 766, 35, 149, 950
"c:\xampp\htdocs\Gretex Corporate main\css\index.css", "CSS", 0, 0, 987, 9, 186, 1182
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\announcements.css", "CSS", 0, 0, 215, 3, 32, 250
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\annual-reports.css", "CSS", 0, 0, 168, 0, 22, 190
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\business-details.css", "CSS", 0, 0, 116, 0, 15, 131
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\codes-and-policies.css", "CSS", 0, 0, 167, 0, 21, 188
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\composition-of-board-of-directors.css", "CSS", 0, 0, 446, 0, 59, 505
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\investor-charter.css", "CSS", 0, 0, 223, 0, 28, 251
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\investor-complaints.css", "CSS", 0, 0, 223, 0, 28, 251
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\investor-relations.css", "CSS", 0, 0, 628, 12, 109, 749
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\notice-for-shareholders.css", "CSS", 0, 0, 168, 0, 22, 190
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\shareholding-pattern.css", "CSS", 0, 0, 168, 0, 21, 189
"c:\xampp\htdocs\Gretex Corporate main\css\legal\privacy-policy.css", "CSS", 0, 0, 112, 0, 12, 124
"c:\xampp\htdocs\Gretex Corporate main\css\services\service.css", "CSS", 0, 0, 576, 3, 98, 677
"c:\xampp\htdocs\Gretex Corporate main\css\services\services copy.css", "CSS", 0, 0, 562, 5, 101, 668
"c:\xampp\htdocs\Gretex Corporate main\css\services\services.css", "CSS", 0, 0, 546, 183, 111, 840
"c:\xampp\htdocs\Gretex Corporate main\footer.php", "PHP", 129, 0, 0, 0, 2, 131
"c:\xampp\htdocs\Gretex Corporate main\header copy.php", "PHP", 80, 0, 0, 0, 4, 84
"c:\xampp\htdocs\Gretex Corporate main\header.php", "PHP", 232, 0, 0, 0, 17, 249
"c:\xampp\htdocs\Gretex Corporate main\index.php", "PHP", 509, 0, 0, 19, 59, 587
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\codes-and-policies.php", "PHP", 286, 0, 0, 0, 11, 297
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\announcements.php", "PHP", 1949, 0, 0, 4, 60, 2013
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\business-details.php", "PHP", 36, 0, 0, 0, 14, 50
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\composition-of-board-of-directors.php", "PHP", 205, 0, 0, 0, 18, 223
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\financial-information\annual-reports.php", "PHP", 192, 0, 0, 0, 12, 204
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\financial-information\annual-returns.php", "PHP", 116, 0, 0, 0, 12, 128
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\financial-information\financial-results.php", "PHP", 192, 0, 0, 0, 10, 202
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\financial-information\financials-subsidiary.php", "PHP", 78, 0, 0, 0, 11, 89
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\financial-information\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\index.php", "PHP", 34, 0, 0, 0, 12, 46
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\investor-contact.php", "PHP", 59, 0, 0, 0, 12, 71
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\notice-for-shareholders.php", "PHP", 191, 0, 0, 0, 11, 202
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\scrutinizer-report.php", "PHP", 78, 0, 0, 0, 13, 91
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\shareholding-pattern.php", "PHP", 173, 0, 0, 0, 13, 186
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\statement-of-deviation.php", "PHP", 60, 0, 0, 0, 12, 72
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\terms-and-condition-for-appointment-of-independent-director.php", "PHP", 59, 0, 0, 0, 10, 69
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\gretex-rights-issue.php", "PHP", 96, 0, 0, 0, 9, 105
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\index.php", "PHP", 491, 0, 0, 2, 33, 526
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\investor-charter.php", "PHP", 229, 0, 0, 0, 10, 239
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\investor-complaints.php", "PHP", 818, 0, 0, 0, 24, 842
"c:\xampp\htdocs\Gretex Corporate main\ipo\a-m-febcon-limited.php", "PHP", 119, 0, 0, 0, 17, 136
"c:\xampp\htdocs\Gretex Corporate main\ipo\aaron-industries-limited.php", "PHP", 117, 0, 0, 0, 14, 131
"c:\xampp\htdocs\Gretex Corporate main\ipo\aki-india-limited.php", "PHP", 77, 0, 0, 0, 12, 89
