"filename", "language", "JavaScript", "CSS", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\careers\catalyst-connect.php", "PHP", 0, 0, 308, 8, 53, 369
"c:\xampp\htdocs\Gretex Corporate main\careers\index.php", "PHP", 0, 0, -34, -1, -9, -44
"c:\xampp\htdocs\Gretex Corporate main\csr\index.php", "PHP", 0, 0, 6, 0, -8, -2
"c:\xampp\htdocs\Gretex Corporate main\css\about\about.css", "CSS", 0, 2, 0, 0, 0, 2
"c:\xampp\htdocs\Gretex Corporate main\css\careers\careers.css", "CSS", 0, 26, 0, -1, 1, 26
"c:\xampp\htdocs\Gretex Corporate main\css\careers\catalyst-connect.css", "CSS", 0, 638, 0, 4, 160, 802
"c:\xampp\htdocs\Gretex Corporate main\css\careers\job.css", "CSS", 0, 4, 0, 0, 0, 4
"c:\xampp\htdocs\Gretex Corporate main\css\csr\csr.css", "CSS", 0, 198, 0, -92, -5, 101
"c:\xampp\htdocs\Gretex Corporate main\css\global copy 2.css", "CSS", 0, -650, 0, -28, -159, -837
"c:\xampp\htdocs\Gretex Corporate main\css\global copy 3.css", "CSS", 0, 793, 0, 35, 153, 981
"c:\xampp\htdocs\Gretex Corporate main\css\global.css", "CSS", 0, -10, 0, -6, -1, -17
"c:\xampp\htdocs\Gretex Corporate main\css\index copy.css", "CSS", 0, 1038, 0, 17, 218, 1273
"c:\xampp\htdocs\Gretex Corporate main\css\index.css", "CSS", 0, 116, 0, 181, 27, 324
"c:\xampp\htdocs\Gretex Corporate main\css\services\service copy.css", "CSS", 0, 556, 0, 4, 125, 685
"c:\xampp\htdocs\Gretex Corporate main\css\services\service.css", "CSS", 0, -194, 0, 0, -22, -216
"c:\xampp\htdocs\Gretex Corporate main\footer copy.php", "PHP", 0, 0, 129, 0, 2, 131
"c:\xampp\htdocs\Gretex Corporate main\footer.php", "PHP", 0, 0, 18, 0, 2, 20
"c:\xampp\htdocs\Gretex Corporate main\header copy 2.php", "PHP", 0, 0, 129, 0, 8, 137
"c:\xampp\htdocs\Gretex Corporate main\header.php", "PHP", 0, 0, 0, 0, 2, 2
"c:\xampp\htdocs\Gretex Corporate main\index.php", "PHP", 0, 0, 166, -4, 5, 167
"c:\xampp\htdocs\Gretex Corporate main\js\script.js", "JavaScript", -23, 0, 0, -1, -3, -27
"c:\xampp\htdocs\Gretex Corporate main\services\service copy.php", "PHP", 0, 0, 942, 2, 38, 982
"c:\xampp\htdocs\Gretex Corporate main\services\service.php", "PHP", 0, 0, 6, 0, 0, 6
"Total", "-", -23, 2517, 1670, 118, 587, 4869
