"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\css\offer-documents\open-offer\open-offer.css", "CSS", 0, 19, 4, 3, 26
"c:\xampp\htdocs\Gretex Corporate main\index.php", "PHP", 4, 0, 0, 2, 6
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\Kwality Credit and Leasing Limited\index.php", "PHP", -220, 0, 0, -14, -234
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\anshuni-commercials-limited\index.php", "PHP", 140, 0, 0, 13, 153
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\econo-trade-india-limited\index copy.php", "PHP", -221, 0, 0, -14, -235
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\econo-trade-india-limited\index.php", "PHP", 240, 0, 0, 14, 254
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\index.php", "PHP", 11, 0, 0, 0, 11
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\kwality-credit-and-leasing-limited\index.php", "PHP", 180, 0, 0, 14, 194
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\neil-industries-limited\index.php", "PHP", 200, 0, 0, 13, 213
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\ph-trading-limited\index.php", "PHP", 160, 0, 0, 13, 173
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\prozone-realty-limited\index.php", "PHP", 120, 0, 0, 13, 133
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\rcl-retails-limited\index.php", "PHP", 220, 0, 0, 13, 233
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\reliance-jute-international-mills-limited\index.php", "PHP", 200, 0, 0, 13, 213
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\sharad-fibres-&-yarn-processors-limited\index.php", "PHP", 200, 0, 0, 13, 213
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\stratmont-industries-limited\index.php", "PHP", 240, 0, 0, 13, 253
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\tirrihannah-company-limited\index.php", "PHP", 222, 0, 0, 13, 235
"Total", "-", 1696, 19, 4, 122, 1841
