"filename", "language", "CSS", "HTML", "PHP", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\about\index.php", "PHP", 0, 0, 63, 0, 2, 13, 78
"c:\xampp\htdocs\Gretex Corporate main\careers\index.php", "PHP", 0, 0, 40, 0, 5, 0, 45
"c:\xampp\htdocs\Gretex Corporate main\contact.php", "PHP", 0, 0, -60, 0, 0, -21, -81
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\Veeramornamentslimited.css", "CSS", -241, 0, 0, 0, -2, -38, -281
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\a-m-febcon-limited.css", "CSS", 29, 0, 0, 0, 0, 3, 32
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\aaron-industries-limited.css", "CSS", 29, 0, 0, 0, 0, 3, 32
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\aki-india-limited.css", "CSS", 29, 0, 0, 0, 0, 3, 32
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\amic-forging-limited.css", "CSS", 29, 0, 0, 0, 0, 3, 32
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\arc-insulation-&-insulators-limited.css", "CSS", 29, 0, 0, 0, 0, 3, 32
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\associated-coaters-limited.css", "CSS", 29, 0, 0, 0, 0, 3, 32
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\b-&-b-triplewall-containers-limited.css", "CSS", 29, 0, 0, 0, 0, 3, 32
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\b-right-realestate-limited.css", "CSS", 29, 0, 0, 0, 0, 3, 32
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\ipo-global.css", "CSS", 129, 0, 0, 0, 0, 16, 145
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\ipo.css", "CSS", 30, 0, 0, 0, 3, 29, 62
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\rapid-multimodal-logistics-limited.css", "CSS", 32, 0, 0, 0, 0, 7, 39
