"filename", "language", "PHP", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\about\index.php", "PHP", 73, 0, 0, 0, 17, 90
"c:\xampp\htdocs\Gretex Corporate main\about\our-approach.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\admin\create-post.php", "PHP", 98, 0, 0, 5, 22, 125
"c:\xampp\htdocs\Gretex Corporate main\admin\dashboard.php", "PHP", 94, 0, 0, 1, 22, 117
"c:\xampp\htdocs\Gretex Corporate main\admin\db.php", "PHP", 13, 0, 0, 0, 5, 18
"c:\xampp\htdocs\Gretex Corporate main\admin\delete-post.php", "PHP", 29, 0, 0, 2, 6, 37
"c:\xampp\htdocs\Gretex Corporate main\admin\edit-post.php", "PHP", 102, 0, 0, 7, 17, 126
"c:\xampp\htdocs\Gretex Corporate main\admin\login.php", "PHP", 18, 0, 0, 1, 3, 22
"c:\xampp\htdocs\Gretex Corporate main\admin\logout.php", "PHP", 6, 0, 0, 0, 1, 7
"c:\xampp\htdocs\Gretex Corporate main\blog\blog-template.php", "PHP", 206, 0, 0, 0, 27, 233
"c:\xampp\htdocs\Gretex Corporate main\blog\index.php", "PHP", 246, 0, 0, 0, 32, 278
"c:\xampp\htdocs\Gretex Corporate main\careers\catalyst-connect.php", "PHP", 3, 0, 0, 0, 2, 5
"c:\xampp\htdocs\Gretex Corporate main\careers\index.php", "PHP", 19, 0, 0, 0, 5, 24
"c:\xampp\htdocs\Gretex Corporate main\careers\job.php", "PHP", 3, 0, 0, 0, 2, 5
"c:\xampp\htdocs\Gretex Corporate main\contact.php", "PHP", -222, 0, 0, 0, -28, -250
"c:\xampp\htdocs\Gretex Corporate main\contact\index.php", "PHP", 221, 0, 0, 0, 28, 249
"c:\xampp\htdocs\Gretex Corporate main\csr\index.php", "PHP", 3, 0, 0, 0, 2, 5
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\a-m-febcon-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\aaron-industries-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\aki-india-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\amic-forging-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\arc-insulation-&-insulators-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\associated-coaters-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\b-&-b-triplewall-containers-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\b-right-realestate-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\bcpl-railway-infrastructure-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\bilwin-industries-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\comrade-appliances-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\deep-polymers-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\dhruv-wellness-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\diggi-multitrade-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\flywings-simulator-training-center-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\g-m-polyplast-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\gnh-india-pharmaceuticals-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\goel-food-products-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\innokiaz-india-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\interiors-and-more-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\ipo.css", "PostCSS", 0, 156, 0, 1, 25, 182
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\jash-dealmark-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\jayant-infratech-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\kalyani-cast-tech-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\kids-medical-system-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\mac-hotels-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\markolines-traffic-controls-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\misquita-engineering-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\moving-media-entertainment-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\niks-technology-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\oan-industries-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\omviras-marine-services-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\owais-metal-and-mineral-processing-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\paramount-dye-tec-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\platinumone-business-services-limited.css", "PostCSS", 0, 30, 0, 0, 3, 33
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\rapid-multimodal-logistics-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\resgen-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\retaggio-industries-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\retina-paints-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\riddhi-corporate-services-limited copy.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\sagar-diamonds-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\salini-tours-n-travels-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\sellowrap-industries-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\shelter-pharma-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\shreyas-fabtech-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\siddharth-education-services-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\silky-overseas-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\ssg-furnishing-solution-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\steelman-telecom-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\subam-papers-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\sudarshan-pharma-industries-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\suumaya-lifestyle-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\tenty-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\trackpoint-gps-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\transteel-seating-technologies-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\veeram-ornaments-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\yug-decor-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\Ipo\zenith-drugs-limited.css", "PostCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Gretex Corporate main\css\about\about.css", "PostCSS", 0, 117, 0, 2, 21, 140
"c:\xampp\htdocs\Gretex Corporate main\css\blog\blog-template.css", "PostCSS", 0, 367, 0, 0, 57, 424
"c:\xampp\htdocs\Gretex Corporate main\css\blog\blog.css", "PostCSS", 0, 310, 0, 0, 42, 352
"c:\xampp\htdocs\Gretex Corporate main\css\careers\careers.css", "PostCSS", 0, 79, 0, 1, 51, 131
"c:\xampp\htdocs\Gretex Corporate main\css\global copy 2.css", "PostCSS", 0, 853, 0, 365, 199, 1417
"c:\xampp\htdocs\Gretex Corporate main\css\global.css", "PostCSS", 0, 36, 0, 20, 26, 82
"c:\xampp\htdocs\Gretex Corporate main\css\index.css", "PostCSS", 0, -106, 0, 0, -35, -141
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\announcements.css", "PostCSS", 0, -138, 0, 0, -16, -154
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\codes-and-policies.css", "PostCSS", 0, -158, 0, 0, -18, -176
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\compliance-with-stock-exchange.css", "PostCSS", 0, -132, 0, 0, -17, -149
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\gretex-rights-issue.css", "PostCSS", 0, 8, 0, 0, 1, 9
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\investor-charter.css", "PostCSS", 0, -214, 0, 0, -25, -239
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\investor-complaints.css", "PostCSS", 0, -60, 0, 0, 6, -54
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\investor-contact.css", "PostCSS", 0, 8, 0, 0, 1, 9
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\investor-relations-main-template.css", "PostCSS", 0, 154, 0, 0, 21, 175
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\investor-relations.css", "PostCSS", 0, 119, 0, 9, 36, 164
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\memorandum-of-association-and-articles-of-association.css", "PostCSS", 0, -164, 0, 0, -21, -185
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\notice-for-shareholders.css", "PostCSS", 0, -163, 0, 0, -20, -183
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\scrutinizer-report.css", "PostCSS", 0, 8, 0, 0, 1, 9
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\shareholding-pattern.css", "PostCSS", 0, -160, 0, 0, -19, -179
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\statement-of-deviation.css", "PostCSS", 0, 8, 0, 0, 1, 9
"c:\xampp\htdocs\Gretex Corporate main\css\investor-relations\terms-and-conditions-for-appointment-of-independent-director.css", "PostCSS", 0, 8, 0, 0, 1, 9
"c:\xampp\htdocs\Gretex Corporate main\css\offer-documents\open-offer-template-main\open-offer-template.css", "PostCSS", 0, -4, 0, 0, 0, -4
